coef_index,coef_value
Xs112,-0.0
Xs113,-0.0008665699706608979
Xs114,-0.0
Xs115,0.0
Xs116,0.0
Xs117,-0.0
Xs118,0.0
Xs119,-0.0
Xs120,0.0
Xs121,-0.0
Xs122,-0.0
Xs123,-0.0
Xs124,0.0
Xs125,0.0
Xs126,0.0
Xs127,0.0
Xs128,-0.08862179340951984
Xs129,0.14502780408551266
Xs130,-0.09285752259619502
Xs131,0.0
Xs132,0.0
Xs133,0.0
Xs134,0.0
Xs135,-0.02356640399279952
Xs136,0.0
Xs137,-0.0
Xs138,0.0
Xs139,0.02174274174591804
Xs140,0.0
Xs141,-0.0
Xs142,-0.10775795545082391
Xs143,-0.0
Xs144,0.0
Xs145,0.0
Xs146,-0.0
Xs147,0.0
Xs148,0.0
Xs149,-0.0
Xs150,-0.0
Xs151,0.0
Xs152,-0.0
Xs153,0.0
Xs154,-0.003544136730556787
Xs155,0.0
Xs156,-0.0
Xs157,0.0
Xs158,-0.06867119002872277
Xs159,0.0
Xs160,-0.0
Xs161,0.0
Xs162,0.0
Xs163,0.0
Xs164,-0.001805226731811525
Xs165,-0.0
Xs166,0.0
Xs167,0.0
Xs168,-0.0
Xs169,-0.0
Xs170,0.0
Xs171,0.0
Xs172,0.0
Xs173,-0.06915261637251771
Xs174,0.0
Xs175,-0.0
Xs176,-0.0
Xs177,0.0
Xs178,-0.0
Xs179,0.07034588293574603
Xs180,0.0
Xs181,-0.0801374674038442
Xs182,-0.0
Xs183,0.0
Xs184,-0.06821464510893718
Xs185,0.0
Xs186,-0.0
Xs187,0.0
Xs188,0.0
Xs189,0.0
Xs190,-0.0
Xs191,0.0
Xs192,-0.0
Xs193,-0.0
Xs194,-0.0
Xs195,-0.0
Xs196,-0.0
Xs197,-0.07185663027560804
Xs198,-0.04947759119583401
Xs199,-0.0
Xs200,0.0
Xs201,-0.104033482967939
Xs202,-0.0
Xs203,-0.0
Xs204,0.0
Xs205,-0.0
Xs206,-0.0
Xs207,-0.0
Xs208,-0.0
Xs209,0.04587540377725217
Xs210,0.11551759578291507
Xs211,-0.0
Xs212,0.0
Xs213,0.0
Xs214,0.0
Xs215,-0.0
Xs216,-0.11806748575895484
Xs217,0.0
Xs218,-0.0
Xs219,-0.03895511008579613
Xs220,0.0
Xs221,-0.0
Xs222,0.0
Xs223,-0.0
Xs224,-0.0
Xs225,-0.006568151134807014
Xs226,-0.0
Xs227,-0.0
Xs228,-0.0
Xs229,-0.0
Xs230,-0.0
Xs231,0.0
Xs232,0.03001017962272222
Xs233,-0.0
Xs234,-0.0
Xs235,-0.0
Xs236,-0.0
Xs237,-0.0
Xs238,0.0
Xs239,0.021069111264035958
Xs240,0.0
Xs241,0.05105764147252377
Xs242,-0.0
Xs243,0.0
Xs244,0.0
Xs245,0.0
Xs246,-0.08824530603054566
Xs247,-0.0
Xs248,0.07499183414936232
Xs249,0.0
Xs250,-0.0
Xs251,0.0
Xs252,-0.0
Xs253,-0.0
Xs254,-0.0
Xs255,0.0
Xs256,0.0
Xs257,-0.0
Xs258,0.0
Xs259,0.0
Xs260,-0.0
Xs261,-0.06771074737316975
Xs262,-0.0
Xs263,0.14413655571038192
Xs264,-0.0
Xs265,-0.0
Xs266,0.0
Xs267,-0.0
Xs268,0.10553608403065655
Xs269,-0.016761403416710122
Xs270,-0.0
Xs271,0.0
Xs272,0.0
Xs273,-0.0
Xs274,-0.004138060162747937
Xs275,-0.0
Xs276,0.0
Xs277,-0.0
Xs278,0.02686348300488127
Xs279,0.0
Xs280,-0.0
Xs281,0.0
Xs282,0.0
Xs283,0.0
Xs284,-0.0
Xs285,0.0
Xs286,0.11680550515041552
Xs287,0.0
Xs288,-0.005730469791375682
Xs289,0.0
Xs290,-0.0
Xs291,0.0
Xs292,-0.03371057087901929
Xs293,-0.011421115175579498
Xs294,0.0
Xs295,-0.05567267621467142
Xs296,0.0
Xs297,-0.0
Xs298,-0.0
Xs299,-0.020313958168460853
Xs300,0.0
Xs301,-0.0
Xs302,-0.0
Xs303,0.0
Xs304,0.0
Xs305,-0.0
Xs306,-0.14715500874349388
Xs307,0.0381281334489472
Xs308,0.0
Xs309,-0.0
Xs310,-0.0
Xs311,-0.043067984853383194
Xs312,-0.0
Xs313,-0.0
Xs314,-0.0
Xs315,-0.0
Xs316,0.0
Xs317,0.0
Xs318,-0.0
Xs319,0.0
Xs320,0.0
Xs321,-0.0
Xs322,0.0
Xs323,0.0
Xs324,0.0
Xs325,0.0
Xs326,0.0
Xs327,0.0
Xs328,-0.0
Xs329,-0.0
Xs330,0.0
Xs331,0.0
Xs332,0.0
Xs333,-0.0
Xs334,-0.0
Xs335,0.0069263707460825085
Xs336,-0.012558500645522231
Xs337,0.0
Xs338,-0.0
Xs339,0.0
Xs340,0.0
Xs341,0.0
Xs342,0.0
Xs343,0.0
Xs344,0.0
Xs345,0.0
Xs346,-0.0
Xs347,-0.0
Xs348,0.0
Xs349,0.08093596614920805
Xs350,-0.0
Xs351,-0.04597559990807059
Xs352,0.0
Xs353,0.0
Xs354,-0.0
Xs355,0.06754367366363828
Xs356,-0.0
Xs357,-0.0
Xs358,-0.0
Xs359,0.0
Xs360,-0.0
Xs361,0.0
Xs362,0.0
Xs363,0.0
Xs364,-0.0
Xs365,0.0
Xs366,0.0
Xs367,0.0
Xs368,0.0
Xs369,-0.0
Xs370,0.0
Xs371,-0.0
Xs372,0.0
Xs373,0.0
Xs374,-0.0
Xs375,-0.0
Xs376,0.0
Xs377,-0.0
Xs378,0.007808823577366466
Xs379,0.0
Xs380,0.0
Xs381,0.020384848253655732
Xs382,0.0
Xs383,0.0
Xs384,-0.0
Xs385,0.0
Xs386,-0.06339146717982677
Xs387,-0.0
Xs388,0.0
Xs389,0.0
Xs390,0.0
Xs391,-0.0
Xs392,-0.0
Xs393,-0.007096164698606527
Xs394,-0.0
Xs395,-0.0
Xs396,-0.0
Xs397,-0.019273679486093386
Xs398,-0.07769332414115217
Xs399,0.0
Xs400,0.0
Xs401,0.0
Xs402,0.0
Xs403,-0.0
Xs404,0.0
Xs405,0.0
Xs406,0.0
Xs407,-0.0036681644043833916
Xs408,0.0
Xs409,0.0
Xs410,-0.0
Xs411,0.0
Xs412,0.0
Xs413,0.0
Xs414,0.0
Xs415,0.0
Xs416,0.0
Xs417,-0.00024964184263589025
Xs418,0.0
Xs419,-0.0
Xs420,0.0
Xs421,-0.0
Xs422,-0.0
Xs423,-0.0
Xs424,-0.0
Xs425,0.023000812764634924
Xs426,0.0
Xs427,0.0
Xs428,0.06823936493243317
Xs429,0.017572942694888804
Xs430,-0.0
Xs431,-0.0
Xs432,-0.0
Xs433,-0.0
Xs434,0.0
Xs435,-0.0
Xs436,-0.0
Xs437,0.0
Xs438,-0.0
Xs439,-0.0
Xs440,0.0
Xs441,0.0
Xs442,0.0
Xs443,0.0
Xs444,-0.0
Xs445,-0.02148718641332819
Xs446,0.0
Xs447,0.0
Xs448,-0.0
Xs449,-0.0
Xs450,-0.0
Xs451,-0.0
Xs452,0.0
Xs453,-0.0
Xs454,-0.0
Xs455,0.0
Xs456,0.0
Xs457,0.0
Xs458,-0.0
Xs459,0.0
Xs460,0.0
Xs461,-0.0
Xs462,-0.0
Xs463,0.0
Xs464,-0.0
Xs465,0.0
Xs466,-0.0
Xs467,-0.03441084926236807
Xs468,-0.0
Xs469,-0.0
Xs470,0.0
